"","er","sd"
"port 1",0.0242485431789615,0.0734152995892764
"port 2",0.023637499220579,0.0712610219329731
"port 3",0.0230264552621965,0.0691456957678936
"port 4",0.022415411303814,0.0670730065128028
"port 5",0.0218043673454315,0.0650470301032477
"port 6",0.021193323387049,0.0630722681610952
"port 7",0.0205822794286665,0.0611536823082907
"port 8",0.019971235470284,0.0592967256422102
"port 9",0.0193601915119015,0.057507368632704
"port 10",0.018749147553519,0.0557921157994013
"port 11",0.0181381035951365,0.0541580085198475
"port 12",0.017527059636754,0.0526126082934869
"port 13",0.0169160156783715,0.0511639539050478
"port 14",0.016304971719989,0.0498204854462276
"port 15",0.0156939277616065,0.0485909284140945
"port 16",0.015082883803224,0.0474841325216697
"port 17",0.0144718398448415,0.0465088628292853
"port 18",0.013860795886459,0.0456735455724319
"port 19",0.0132497519280765,0.0449859775017361
"port 20",0.012638707969694,0.0444530149884387
"port 21",0.0120276640113115,0.0440802662705656
"port 22",0.011416620052929,0.0438718152183326
"port 23",0.0108055760945465,0.0438300060434062
"port 24",0.010194532136164,0.0439553142648815
"port 25",0.00958348817778152,0.0442463200461904
"port 26",0.00897244421939902,0.0446997873180767
"port 27",0.00836140026101652,0.0453108386379972
"port 28",0.00775035630263403,0.0460732045013357
"port 29",0.00713931234425153,0.0469795190600238
"port 30",0.00652826838586903,0.0480216327538572
