"","mean","sd","sharpe_ratio","betas"
"cencosud",0.00165423635522268,0.0914218836163189,0.0071562335990406,0.051587929939078
"bci",0.00831416072280936,0.0610777907560593,0.119751559974093,0.460117405382988
"copec",0.0108525877111679,0.0788821255106895,0.124902665177712,0.776897524120854
"colbun",0.0103517950080116,0.0764522407135569,0.122322052574625,0.737408952936763
"cmpc",0.0135368346612679,0.071193340104237,0.176095610107802,0.988556112787648
"conchatoro",0.00637333245798766,0.0602748162026184,0.0891472226132519,0.423698707919849
"ccu",0.00409187113191096,0.0728875652081245,0.0424197340531595,0.282427483037023
"sqm-b",0.0198184744806884,0.0874225162240063,0.215258897747452,0.184956226048269
"tang_port_d",0.0136819656457488,0.0600310449020407,0.211256786658359,1
